string,polarity
"
Heartbreaking article the other week about examination stress.",-0.125
"The writer, who still had fresh memories of passing the ordeal herself, thought this was shocking, and so do I.",-0.35
"It is always difficult to be sure of the motives of people who commit suicide, and there is a tendency for one reported case to inspire imitation.",-0.044444444444444446
"Even so, I remember the days when a toll of one or two suicides in an examination season was considered bad news.",-0.6999999999999998
"The writer noted that the DSE, compared with other similar exercises, lacks continuous assessment.",-0.0625
No detailed consideration is possible.,-0.1
The only other indicator of any interest is the student’s choice.,-0.0625
The unfortunate consequence of this is that employers who really do not need people with a university degree still use it as a way of reducing their pool of applicants to a manageable size.,-0.3
This leads to the suspicion that – as one of Michael Moore’s interviewees puts it in Bowling for Columbine – if you don’t graduate you will die poor and lonely.,-0.25
But there is not much privacy in a boarding school.,-0.1
This was an exam (which was supposed to be a mere “IQ test”) taken at the end of primary education.,-0.04999999999999999
"It may have caused some stress, but most of us were too young to take it that seriously, and at least the stress did not coincide with teenage turmoil.",-0.006666666666666665
"There was supposed to be a third category of Technical Schools for the NCOs of industry, but few of these actually appeared.",-0.05
"We had six hours of exams on Wednesday, Thursday, Friday and Saturday, Sunday off, six hours on Monday and a last burst on Tuesday morning, after which there was an understandable tendency for the exhausted examinee to get resoundingly drunk.",-0.3
"This was because the university had decreed, after a spate of student suicides using gas, that all gas fires should be replaced with something less obviously lethal.",-0.08333333333333333
Nobody killed him or herself while I was there.,-0.2
In small colleges there was constant vigilance.,-0.125
"I remember the Dean of my place, seeing me sitting on the steps of a church (I was waiting for a friend) drew disturbing conclusions about my state of mind.",-0.5
"He stopped his car in the middle of the street, ignored the ensuing hoots of outrage from other motorists and ran across to ask if I was alright.",-0.0625
Using continuous assessment of school work is a big ask because it puts teachers in a complicated situation.,-0.25
Students taking Hong Kong Diploma of Secondary Education Examination (DSE).,-0.3
Unfortunately this boy was not a strong candidate.,-0.35833333333333334
"“I don’t know,” he said, “she was talking in a foreign language.” Seriously, though, the business of preparing people for an arbitrary and unnecessary encounter with failure is gratuitously cruel.",-0.3791666666666667
There may be something in the idea that those who aspire to life’s glittering prizes should be willing to suck it up and tough it out on occasion.,-0.06944444444444445
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
Hong Kong’s Diploma of Secondary Education (DSE) – the public examination students take in the final year of secondary school – is among the most high-pressure exams in the world.,-0.019999999999999997
The DSE has a relatively low coursework element and less flexibility – compared with the International Baccalaureate (IB) and the AS and A2 Level exams in the UK – so the fate of students comes down to the final two weeks of exams rather than the pressure being spread throughout the year.,-0.06444444444444444
This can have disastrous consequences.,-0.7
"For students, there are immense stress levels and various forms of mental illness.",-0.03333333333333333
Fear of missing out without a “superstar tutor” adds further worry.,-0.1
"A former DSE student myself, I remember those final exams as the worst time of my life.",-0.3333333333333333
"I became depressed, suffered from high levels of stress and I can now see that my teenage self was unable to handle this stress, combined with all the other emotions of being a young person.",-0.073
"I became unable to eat, I suffered from chronic insomnia and I closed myself off socially.",-0.18888888888888888
"I am not a social person by nature, but due to the pressure of the DSE I essentially became mute.",-0.04722222222222222
"In the long term, changes must be made in universities’ entry requirements and in the DSE system itself to ease the pressure on students.",-0.05
"[This article contains images some readers may find distressing] A Hong Kong kindergarten attended by a five-year-old who reportedly died after being found unconscious at home was aware of multiple bruises suffered by the girl months before her tragic death, according to photos taken by teachers and obtained by FactWire.",-0.16666666666666666
"On 6 January, Chan Sui-lam was rushed to hospital covered in bruises but was declared dead on arrival.",-0.2
"Vivian Yu Mei-ying, principal of Fu Tai Lutheran Day Nursery in Tuen Mun, told reporters at the time that the kindergarten did not find any injuries on the girl before Sui-lam quit the school in late October.",-0.3
"Injuries found on other occasions, include red marks and peeling skin on her ear, were not included in the report, said another source.",-0.0625
Hong Kong Lutheran Social Service said in a press release on 10 January that it took allegations that the school was previously alerted of the situation very seriously and had opened an investigation to look into the matter.,-0.18888888888888888
Yu has just returned to work last Wednesday after taking a leave of absence after the incident.,-0.00625
"In the aftermath of the Chinese civil war, from which Mao’s Communists emerged victoriously, the members of the defeated Kuomintang Party regrouped in Taiwan, hoping to reclaim mainland China from the Communists in due course.",-0.0625
"There, the protagonists of the student movements were sentenced to jail.",-0.1
The PRC shows little concern for contracts that guaranteed to respect Hong Kong’s democratic culture of the country.,-0.1875
US Congress lately acknowledged this and appreciated Taiwan diplomatically.,-0.04999999999999999
"German giant Lufthansa followed suit and joined the sad ranks of Daimler, whose CEO Dieter Zetsche sucked up to Peking after a quote of the Dalai Lama had surfaced on the company’s social media channels.",-0.11666666666666667
