name,age,grade,date,x,sex,xx,xxx,xxxx
陳姓男生,21,副學士,26/07/2015,male,male,男,male,female
周姓女生,17,中五升中六,02/08/2015,#VALUE!,female,男,male,female
男生,19,外國留學暫歸港,12/08/2015,male,male,男,male,female
陳姓男生,21,大學文憑,07/09/2015,male,male,男,male,female
陳姓男生,11,中一,10/09/2015,male,male,男,male,female
朱姓男生,13,中一,23/09/2015,male,male,男,male,female
林姓男生,15,休學,23/10/2015,male,male,男,male,female
伍姓男生,17,香港專業教育學院,24/10/2015,male,male,男,male,female
陳姓女生,15,中三,01/10/2015,#VALUE!,female,男,male,female
黃姓女生,21,大學,04/11/2015,#VALUE!,female,男,male,female
吳姓男生,21,大學二年級,04/11/2015,male,male,男,male,female
梁姓女生,18,大學一年級,19/11/2015,#VALUE!,female,男,male,female
謝姓女生,21,中專教育文憑課程,14/12/2015,#VALUE!,female,男,male,female
陳姓男生,22,大學四年級,15/12/2015,male,male,男,male,female
黃姓女生,15,中四,16/12/2015,#VALUE!,female,男,male,female
張姓男生,18,中六,28/12/2015,male,male,男,male,female
何姓男生,15,中四,04/01/2016,male,male,男,male,female
蕭姓女生,19,大學一年級,06/01/2016,#VALUE!,female,男,male,female
李姓女生,20,中六,17/01/2016,#VALUE!,female,男,male,female
林姓男生,14,國際學校九年級,18/01/2016,male,male,男,male,female
黃姓女生,21,大學四年級,20/01/2016,#VALUE!,female,男,male,female
黎姓女生,12,中一,12/02/2016,#VALUE!,female,男,male,female
吳姓男生,16,中五,18/02/2016,male,male,男,male,female
張姓女生,20,大學三年級,05/03/2016,#VALUE!,female,男,male,female
周姓男生,15,中四,07/03/2016,male,male,男,male,female
吳姓男生,12,中一,08/03/2016,male,male,男,male,female
蘇姓男生,20,大學三年級,08/03/2016,male,male,男,male,female
張姓男生,20,英國留學暫歸港,11/03/2016,male,male,男,male,female
譚姓女生,11,小學六年級,12/03/2016,#VALUE!,female,男,male,female
葉姓女生,21,大學三年級,13/03/2016,#VALUE!,female,男,male,female
周姓男生,22,大學四年級,26/03/2016,male,male,男,male,female
關姓女生,17,國際學校 11年級,27/03/2016,#VALUE!,female,男,male,female
楊姓男生,20,DSE自修生,04/04/2016,male,male,男,male,female
蕭姓男生,17,中四,13/04/2016,male,male,男,male,female
